Time(secs), Persons Detected, Crowd Density (persons per pixel), Violation Count
18.7244996,6,1.3563368055555555e-05,3
18.84947770000001,5,1.1302806712962962e-05,1
18.99612110000001,6,1.3563368055555555e-05,2
19.11398600000001,7,1.5823929398148147e-05,1
19.2391413,5,1.1302806712962962e-05,2
19.353867100000002,6,1.3563368055555555e-05,2
19.50091160000001,6,1.3563368055555555e-05,2
19.619790100000003,6,1.3563368055555555e-05,2
19.756855300000012,4,9.04224537037037e-06,1
19.890762800000005,4,9.04224537037037e-06,1
20.008559200000008,4,9.04224537037037e-06,1
20.1652574,4,9.04224537037037e-06,1
20.29318930000001,4,9.04224537037037e-06,1
20.418055300000006,6,1.3563368055555555e-05,1
20.562892500000004,7,1.5823929398148147e-05,0
20.683205600000008,6,1.3563368055555555e-05,0
20.7988299,6,1.3563368055555555e-05,1
20.924459600000006,5,1.1302806712962962e-05,0
21.059207600000008,4,9.04224537037037e-06,0
21.197048300000006,5,1.1302806712962962e-05,0
21.322191200000006,6,1.3563368055555555e-05,1
